word,n
hotel,70
hundreds,70
jam,70
james,70
lives,70
silence,70
soft,70
solo,70
split,70
wherever,70
bae,69
belong,69
build,69
difference,69
drinks,69
edge,69
energy,69
flying,69
hits,69
hittin,69
honest,69
keepin,69
lotta,69
machine,69
mix,69
ohh,69
quiet,69
sean,69
shy,69
special,69
um,69
v,69
vision,69
wayne,69
acting,68
awake,68
boo,68
bricks,68
cops,68
everybody's,68
field,68
lying,68
numb,68
por,68
rick,68
rings,68
smoking,68
staring,68
test,68
verse,68
weather,68
yesterday,68
aâ,67
amazing,67
asking,67
blunt,67
bone,67
could've,67
crash,67
dã,67
fans,67
fault,67
hoping,67
london,67
ma,67
player,67
raised,67
thug,67
warm,67
wings,67
24,66
bills,66
blowing,66
cheap,66
clock,66
con,66
dangerous,66
dash,66
greatest,66
jordan,66
le,66
needs,66
null,66
ol,66
plate,66
sand,66
secret,66
shining,66
thang,66
we'd,66
100,65
dough,65
dreaming,65
dry,65
hmm,65
holy,65
laid,65
lambo,65
mac,65
pole,65
purple,65
raw,65
strip,65
swing,65
turning,65
weight,65
angels,64
chasing,64
coast,64
eh,64
gimme,64
glad,64
jealous,64
mood,64
mud,64
pool,64
share,64
singin,64
sipping,64
suit,64
train,64
worse,64
addicted,63
become,63
book,63
bounce,63
bullets,63
ceiling,63
coke,63
dice,63
dying,63
grace,63
headed,63
history,63
john,63
mall,63
person,63
pieces,63
popped,63
puttin,63
sea,63
tan,63
taught,63
askin,62
bend,62
calls,62
designer,62
eatin,62
facts,62
freedom,62
imagine,62
killer,62
kissed,62
life's,62
mission,62
mistake,62
notice,62
pistol,62
pot,62
sellin,62
shop,62
starts,62
tour,62
underneath,62
waves,62
card,61
college,61
glow,61
midnight,61
prove,61
public,61
re,61
royce,61
saved,61
signs,61
sounds,61
stayed,61
stress,61
tied,61
tune,61
unless,61
wheel,61
birds,60
bow,60
cell,60
clap,60
code,60
como,60
drivin,60
evil,60
hangin,60
north,60
prolly,60
realize,60
screaming,60
slime,60
smith,60
sticks,60
wasted,60
17,59
aim,59
blessed,59
faces,59
fashion,59
flexin,59
hi,59
honestly,59
lame,59
missed,59
missin,59
owe,59
paradise,59
picked,59
pound,59
scars,59
shades,59
showed,59
steal,59
al,58
beats,58
bill,58
boots,58
california,58
dear,58
dogs,58
fair,58
fold,58
hole,58
knowing,58
martin,58
simple,58
sugar,58
throat,58
ticket,58
tom,58
action,57
anywhere,57
bass,57
beside,57
cocaine,57
countin,57
dude,57
excuse,57
feds,57
flag,57
folks,57
law,57
mansion,57
message,57
neon,57
paris,57
rocking,57
spirit,57
vegas,57
wheels,57
wondering,57
wrap,57
z,57
babies,56
bird,56
chasin,56
cheese,56
chillin,56
climb,56
cloud,56
cook,56
couch,56
dig,56
drum,56
extra,56
fish,56
held,56
hella,56
highway,56
internet,56
married,56
mile,56
press,56
sheets,56
slowly,56
sober,56
survive,56
swallow,56
boyfriend,55
court,55
dare,55
disappear,55
he'll,55
hollywood,55
hotter,55
jumpin,55
keeping,55
killers,55
m's,55
months,55
order,55
poor,55
pump,55
range,55
rip,55
sam,55
saturday,55
stopped,55
stronger,55
una,55
would've,55
ye,55
asleep,54
bless,54
bomb,54
cards,54
checks,54
darling,54
dinner,54
dior,54
drove,54
estã,54
explain,54
gram,54
heels,54
hills,54
kanye,54
las,54
laughing,54
letting,54
rari,54
rob,54
season,54
seats,54
stare,54
toe,54
trappin,54
upon,54
wearing,54
choppa,53
jacket,53
mask,53
miami,53
mill,53
minutes,53
month,53
prayin,53
quite,53
stuntin,53
waist,53
aw,52
beauty,52
blues,52
boom,52
buzz,52
calm,52
camera,52
coffee,52
david,52
escape,52
flyin,52
golden,52
grey,52
h,52
hunnid,52
los,52
mars,52
model,52
one's,52
pair,52
pipe,52
platinum,52
records,52
seeing,52
shooters,52
sides,52
tãº,52
trees,52
whippin,52
wishing,52
blew,51
bodies,51
building,51
cole,51
distance,51
dressed,51
finished,51
grass,51
happens,51
lee,51
mark,51
max,51
mic,51
nervous,51
older,51
para,51
regret,51
rough,51
rubber,51
seein,51
sleepin,51
traffic,51
turnin,51
winter,51
wishin,51
age,50
cousin,50
cute,50
deny,50
draco,50
early,50
heads,50
jackson,50
jason,50
jumped,50
major,50
patience,50
paul,50
rappin,50
scott,50
showin,50
triple,50
wrapped,50
15,49
andâ,49
baddest,49
bobby,49
booth,49
bullet,49
chicken,49
clique,49
cryin,49
del,49
droppin,49
enemy,49
kelly,49
likes,49
mami,49
map,49
mention,49
moonlight,49
proof,49
putting,49
rent,49
santa,49
shinin,49
sink,49
strapped,49
ugly,49
uncle,49
wash,49
16,48
22,48
butt,48
course,48
french,48
ghetto,48
glasses,48
grave,48
hopin,48
important,48
jewelry,48
joe,48
justin,48
khaled,48
knowin,48
lamborghini,48
lied,48
metro,48
milli,48
mixed,48
myâ,48
pero,48
pimp,48
prison,48
repeat,48
rolled,48
ross,48
slim,48
strange,48
weezy,48
advice,47
bustin,47
bye,47
circle,47
company,47
counting,47
cried,47
deeper,47
given,47
mercedes,47
montana,47
names,47
pa,47
passed,47
serious,47
ship,47
sister,47
smiling,47
stacks,47
sunshine,47
tape,47
throwing,47
toâ,47
toast,47
tone,47
trigger,47
turns,47
winnin,47
ace,46
button,46
dawn,46
enemies,46
flood,46
forth,46
girlfriend,46
grip,46
instagram,46
issues,46
lip,46
mountain,46
ours,46
panic,46
porch,46
section,46
shady,46
smash,46
spinning,46
stomach,46
stones,46
tag,46
thot,46
van,46
25,45
american,45
beating,45
filled,45
focus,45
hustle,45
icy,45
involved,45
kisses,45
kush,45
leather,45
lesson,45
link,45
listening,45
og,45
piss,45
porsche,45
prince,45
row,45
shade,45
size,45
stole,45
thunder,45
18,44
19,44
23,44
atlanta,44
attitude,44
belt,44
blessings,44
bored,44
burnin,44
cookin,44
cream,44
crime,44
dip,44
downtown,44
forty,44
hat,44
it'd,44
lap,44
letter,44
meek,44
minaj,44
nas,44
noise,44
plastic,44
posted,44
promises,44
pulling,44
reckless,44
regular,44
relax,44
rocket,44
rounds,44
secrets,44
shoulda,44
spark,44
spread,44
stories,44
system,44
titties,44
vibes,44
14,43
45,43
attack,43
bones,43
breakin,43
broad,43
choice,43
dem,43
everything's,43
fam,43
frozen,43
holla,43
hopped,43
horse,43
lawyer,43
makeup,43
mane,43
note,43
page,43
pourin,43
rat,43
rockstar,43
selling,43
starting,43
third,43
travis,43
tunechi,43
wood,43
13,42
balling,42
biggest,42
bros,42
cardi,42
charge,42
chose,42
credit,42
crush,42
decide,42
ego,42
ella,42
expensive,42
freaky,42
grandma,42
hall,42
heal,42
july,42
knee,42
legend,42
losin,42
loyal,42
mary,42
matters,42
mode,42
monster,42
ok,42
passion,42
phantom,42
pillow,42
popping,42
sat,42
shooter,42
shower,42
stranger,42
suicide,42
surprise,42
switchin,42
trash,42
wan,42
aren't,41
bay,41
bear,41
below,41
bieber,41
c'mon,41
common,41
creep,41
drag,41
flames,41
flowers,41
frame,41
hating,41
hungry,41
hurry,41
jungle,41
lã,41
label,41
loaded,41
member,41
mob,41
motherfuckers,41
nuts,41
pen,41
roses,41
sack,41
shoulders,41
silver,41
sons,41
studio,41
swim,41
tã,41
texas,41
thin,41
wedding,41
wipe,41
yard,41
ak,40
america,40
bound,40
bringing,40
coat,40
cum,40
cups,40
faster,40
flooded,40
focused,40
froze,40
george,40
heart's,40
hype,40
i'mâ,40
island,40
jean,40
jumping,40
league,40
lovers,40
meâ,40
praying,40
rico,40
roads,40
shadows,40
skies,40
skinny,40
skip,40
smart,40
smooth,40
stoppin,40
sucker,40
trenches,40
trunk,40
twisted,40
vvs,40
won,40
afford,39
balls,39
billy,39
bitter,39
bruh,39
bucks,39
cã,39
cab,39
cameras,39
celebrate,39
chainz,39
chop,39
christian,39
dan,39
darkness,39
disrespect,39
dyin,39
emotions,39
ferrari,39
flew,39
forward,39
georgia,39
glory,39
hay,39
heartbeat,39
humble,39
ignore,39
jimmy,39
joke,39
kickin,39
moments,39
motherfucking,39
moved,39
necklace,39
nobody's,39
nut,39
porque,39
practice,39
questions,39
realest,39
richard,39
serve,39
sins,39
slick,39
spinnin,39
stunt,39
switched,39
talked,39
tap,39
tea,39
vacation,39
wow,39
army,38
ate,38
ayo,38
ben,38
bury,38
certain,38
claim,38
condo,38
cuando,38
cuban,38
diss,38
dreamin,38
exactly,38
fendi,38
fifth,38
fightin,38
flat,38
float,38
garden,38
growing,38
hater,38
hero,38
hips,38
kendrick,38
knife,38
lake,38
lanes,38
laughin,38
leg,38
lipstick,38
load,38
mm,38
motion,38
mustard,38
onâ,38
oooh,38
overseas,38
packed,38
patient,38
peep,38
position,38
reality,38
reasons,38
rhyme,38
rhythm,38
rope,38
sale,38
seconds,38
selfish,38
skrrt,38
sneak,38
someday,38
soy,38
spendin,38
strap,38
struggle,38
tank,38
thatâ,38
usually,38
video,38
waking,38
wearin,38
weave,38
weren't,38
38,37
account,37
add,37
apple,37
barbie,37
basement,37
bedroom,37
breaks,37
cali,37
changing,37
choke,37
colors,37
confused,37
copy,37
deck,37
dr,37
draw,37
duck,37
ears,37
ed,37
expect,37
fancy,37
gangsta,37
hah,37
hallelujah,37
happiness,37
heartbreak,37
houston,37
ink,37
joy,37
knocked,37
nails,37
onto,37
opp,37
penthouse,37
pie,37
plays,37
prada,37
quã,37
searching,37
settle,37
shooting,37
shoppin,37
shotgun,37
socks,37
southern,37
starin,37
startin,37
steve,37
stood,37
tattoos,37
trade,37
ups,37
vert,37
whisper,37
witness,37
wiz,37
worked,37
written,37
yah,37
yea,37
27,36
animal,36
beginning,36
boogie,36
bum,36
burned,36
chair,36
cheat,36
choppers,36
cock,36
county,36
engine,36
